2025-04-10T20:54:51.400157+0800 INFO aggregate alpha: 0.008347649856714625 (cossim: 0.9980006217956543, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn1.bias
2025-04-10T20:54:51.400157+0800 INFO aggregate alpha: 0.009659675378743635 (cossim: 0.9846122860908508, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn1.running_mean
2025-04-10T20:54:51.401152+0800 INFO aggregate alpha: 0.009733703010586132 (cossim: 0.9913964867591858, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn1.running_var
2025-04-10T20:54:51.402147+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn1.num_batches_tracked
2025-04-10T20:54:51.419071+0800 INFO aggregate alpha: 0.008414737243581343 (cossim: 0.9999819397926331, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.conv2.weight
2025-04-10T20:54:51.422059+0800 INFO aggregate alpha: 0.00971671858487915 (cossim: 0.9999999403953552, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn2.weight
2025-04-10T20:54:51.423054+0800 INFO aggregate alpha: 0.00992253600955723 (cossim: 0.9978653788566589, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn2.bias
2025-04-10T20:54:51.424051+0800 INFO aggregate alpha: 0.009215957345429024 (cossim: 0.9996175169944763, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn2.running_mean
2025-04-10T20:54:51.425047+0800 INFO aggregate alpha: 0.009804407771500469 (cossim: 0.9891370534896851, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn2.running_var
2025-04-10T20:54:51.426043+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn2.num_batches_tracked
2025-04-10T20:54:51.427037+0800 INFO aggregate alpha: 0.008528459940968632 (cossim: 0.9999984502792358, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.downsample.0.weight
2025-04-10T20:54:51.427037+0800 INFO aggregate alpha: 0.009790172747817573 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.downsample.1.weight
2025-04-10T20:54:51.428032+0800 INFO aggregate alpha: 0.00992253600955723 (cossim: 0.9978653788566589, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.downsample.1.bias
2025-04-10T20:54:51.429028+0800 INFO aggregate alpha: 0.009660928252925688 (cossim: 0.9874876141548157, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.downsample.1.running_mean
2025-04-10T20:54:51.430023+0800 INFO aggregate alpha: 0.009653639124158514 (cossim: 0.9888595342636108, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.downsample.1.running_var
2025-04-10T20:54:51.431020+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.downsample.1.num_batches_tracked
2025-04-10T20:54:51.446948+0800 INFO aggregate alpha: 0.008481094375710608 (cossim: 0.9999887943267822, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.conv1.weight
2025-04-10T20:54:51.448940+0800 INFO aggregate alpha: 0.00779112512252576 (cossim: 1.0000001192092896, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn1.weight
2025-04-10T20:54:51.449935+0800 INFO aggregate alpha: 0.009120981855010502 (cossim: 0.9992777705192566, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn1.bias
2025-04-10T20:54:51.450930+0800 INFO aggregate alpha: 0.00979112335021275 (cossim: 0.9988069534301758, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn1.running_mean
2025-04-10T20:54:51.450930+0800 INFO aggregate alpha: 0.009812966018027027 (cossim: 0.9835395812988281, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn1.running_var
2025-04-10T20:54:51.451926+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn1.num_batches_tracked
2025-04-10T20:54:51.465865+0800 INFO aggregate alpha: 0.009050787707418389 (cossim: 0.9999874234199524, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.conv2.weight
2025-04-10T20:54:51.467857+0800 INFO aggregate alpha: 0.009855399891958515 (cossim: 1.0000001192092896, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn2.weight
2025-04-10T20:54:51.468852+0800 INFO aggregate alpha: 0.009988872660654206 (cossim: 0.9990760087966919, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn2.bias
2025-04-10T20:54:51.469847+0800 INFO aggregate alpha: 0.009605034809568291 (cossim: 0.9982144236564636, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn2.running_mean
2025-04-10T20:54:51.470843+0800 INFO aggregate alpha: 0.009921682868626045 (cossim: 0.9944209456443787, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn2.running_var
2025-04-10T20:54:51.471839+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.1.bn2.num_batches_tracked
2025-04-10T20:54:51.471839+0800 INFO aggregate alpha: 0.009922135570063868 (cossim: 0.9948937296867371, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.fc.weight
2025-04-10T20:54:51.472834+0800 INFO aggregate alpha: 0.009802058808969743 (cossim: 0.9745418429374695, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.fc.bias
